 Name                                      Version      License                                           
 semgrep                                   1.139.0      GNU Lesser General Public License v2 (LGPLv2)     
 shellingham                               1.5.4        ISC License (ISCL)                                
 simple-websocket                          1.1.0        MIT License                                       
 sniffio                                   1.3.1        Apache Software License; MIT License              
 sortedcontainers                          2.4.0        Apache Software License                           
 sse-starlette                             3.0.2        UNKNOWN                                           
 starlette                                 0.48.0       BSD License                                       
 stevedore                                 5.5.0        Apache Software License                           
 tenacity                                  9.1.2        Apache Software License                           
 toml                                      0.10.2       MIT License                                       
 tomlkit                                   0.13.3       MIT License                                       
 tqdm                                      4.67.1       MIT License; Mozilla Public License 2.0 (MPL 2.0) 
 trio                                      0.31.0       UNKNOWN                                           
 trio-websocket                            0.12.2       MIT License                                       
 typer                                     0.19.2       MIT License                                       
 typing-inspection                         0.4.2        UNKNOWN                                           
 typing_extensions                         4.15.0       UNKNOWN                                           
 urllib3                                   2.5.0        UNKNOWN                                           
 uvicorn                                   0.37.0       BSD License                                       
 wcmatch                                   8.5.2        MIT License                                       
 websocket-client                          1.8.0        Apache Software License                           
 wrapt                                     1.17.3       BSD License                                       
 wsproto                                   1.2.0        MIT License                                       
 zipp                                      3.23.0       UNKNOWN                                           
 zope.event                                6.0          Zope Public License                               
 zope.interface                            8.0.1        Zope Public License                               
